CMS	Version	MD5
Joomla	3.6.0	b4a3d800724ebf45278d77f8590d83b2
Joomla	3.6.1	c29190a9ca9150e4065e6b829d8a0691
Joomla	3.6.2	5e445087d22b91f55ed0c4deff32a36b
Joomla	3.6.3	6fb4fda90e82285520e3f94663747a1a
Joomla	3.6.4	fc463a85696f17b6f13adf7e37668cbf
Joomla	3.6.5	606b630f832e2fed5c69e090ef6ee7b5
Joomla	3.7.0	7dfa1d81271843d868f3e559b096eda6
Joomla	3.7.1	c8e2394542f615a0244c348679e1d06e
Joomla	3.7.2	a8a736922d0bfc6b96e3f23fb743dc01
Joomla	3.7.3	990d42c05bdfd724c9783ff06aca6f06
Joomla	3.7.4	9546440e9de33a86f099195cf556f359
Joomla	3.7.5	098f9afe7e467d95501824c02dbfdae2
Joomla	3.8.0	d79382203b89b58309a1bf6c505a8fec
Joomla	3.8.1	576d7c20524dfb38174da8838a7d20a7
Joomla	3.8.2	cb2e7fcd3ec576585d9e21e380961483
Joomla	3.8.4	535518242bceaf31cc31b99ab3e2a7ae
Joomla	3.8.5	a54bcfff07ef35fd7d3526206fc53623
Joomla	3.8.6	59d9df7a6bfab828b8004ef0281207e2
Joomla	3.8.7	64f7b93dba36259d91788e3d4a706011
